,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,latitude,longitude,number_of_baths,shared_bath,Unnamed: 0,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable,netflix,fireplace,cable_tv,luggage_dropof_allowed
0,within an hour,100.0,97.0,t,t,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,8,3.0,5.0,84.0,1,45,t,25,97.0,10.0,10.0,10.0,10.0,9.0,10.0,t,0.21,37.98863,23.76527,2.0,False,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,within an hour,100.0,97.0,t,t,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,4,1.0,1.0,50.0,1,60,t,44,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,0.43,37.98903,23.76448,1.0,False,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,within an hour,100.0,97.0,t,t,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,2,,1.0,40.0,1,60,t,58,97.0,10.0,10.0,10.0,10.0,10.0,10.0,t,0.57,37.98888,23.76473,1.0,False,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,within an hour,100.0,97.0,t,t,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,4,1.0,2.0,50.0,1,60,t,23,96.0,10.0,10.0,10.0,10.0,10.0,10.0,t,0.18,37.98903,23.76448,1.0,False,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,within an hour,100.0,97.0,t,t,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,4,1.0,1.0,50.0,1,30,t,17,95.0,10.0,10.0,10.0,10.0,9.0,9.0,t,0.17,37.98924,23.765,1.0,False,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,within an hour,100.0,100.0,t,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,4,1.0,2.0,40.0,2,1125,t,455,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,4.27,37.9768,23.72924,1.0,False,5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,,,,f,t,ΚΕΡΑΜΕΙΚΟΣ,Private room,1,1.0,0.0,39.0,1,730,f,0,,,,,,,,f,,37.97962,23.71589,1.0,True,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,a few days or more,0.0,,f,f,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,Entire home/apt,5,2.0,2.0,40.0,5,365,t,71,94.0,9.0,9.0,10.0,10.0,9.0,10.0,f,0.57,38.00853,23.72938,1.0,False,7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,within a day,100.0,100.0,t,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,7,3.0,5.0,120.0,2,365,t,121,93.0,10.0,9.0,10.0,10.0,10.0,10.0,f,1.05,37.97692,23.7304,1.5,False,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,,,f,f,ΣΤΑΔΙΟ,Entire home/apt,2,1.0,1.0,70.0,10,730,t,3,100.0,10.0,10.0,10.0,10.0,10.0,8.0,f,0.04,37.96811,23.74345,1.0,False,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,within a day,75.0,,f,t,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,6,4.0,5.0,56.0,2,250,t,331,95.0,10.0,9.0,10.0,10.0,9.0,10.0,t,2.66,37.99095,23.72195,2.0,False,10,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
11,within a day,50.0,,f,t,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,Entire home/apt,3,1.0,3.0,28.0,3,300,t,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,0.13,37.96543,23.74025,1.0,False,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,within a few hours,100.0,98.0,t,t,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,Entire home/apt,2,1.0,1.0,26.0,2,1125,t,458,96.0,10.0,10.0,10.0,10.0,9.0,10.0,t,3.82,37.99429,23.70901,1.5,False,12,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,,,,f,f,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,4,1.0,1.0,60.0,4,365,t,8,93.0,9.0,9.0,10.0,10.0,9.0,9.0,f,0.08,37.96301,23.72549,1.0,False,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,,,,f,f,ΓΟΥΒΑ,Entire home/apt,4,1.0,3.0,45.0,4,730,t,21,88.0,9.0,9.0,10.0,10.0,9.0,9.0,f,0.19,37.96403,23.74407,1.0,False,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,,,,f,f,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,4,1.0,4.0,75.0,4,730,t,0,,,,,,,,f,,37.99183,23.7298,1.0,False,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,,,,f,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,3,1.0,2.0,32.0,8,180,t,250,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,2.13,37.98568,23.73388,1.0,False,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,,,,f,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,3,1.0,1.0,65.0,2,32,t,122,94.0,10.0,9.0,10.0,10.0,10.0,10.0,f,1.04,37.9726,23.72536,1.0,False,17,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,within a few hours,100.0,91.0,f,t,ΝΕΑ ΚΥΨΕΛΗ,Entire home/apt,5,1.0,0.0,53.0,2,365,t,29,94.0,9.0,10.0,10.0,10.0,9.0,9.0,t,0.27,38.00172,23.74866,1.5,False,18,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,within a few hours,100.0,91.0,f,t,ΝΕΑ ΚΥΨΕΛΗ,Entire home/apt,7,2.0,7.0,58.0,2,365,t,41,96.0,10.0,10.0,10.0,10.0,9.0,9.0,t,0.35,38.00172,23.74866,1.0,False,19,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,,,100.0,t,t,ΠΑΓΚΡΑΤΙ,Entire home/apt,4,2.0,2.0,52.0,2,300,t,59,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,0.52,37.96783,23.7497,1.0,False,20,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,within a few hours,100.0,0.0,f,t,ΣΤΑΔΙΟ,Entire home/apt,5,2.0,4.0,34.0,3,90,t,41,89.0,10.0,9.0,10.0,10.0,9.0,9.0,f,0.4,37.96937,23.7417,1.0,False,21,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,a few days or more,0.0,30.0,f,t,ΚΟΛΩΝΑΚΙ,Entire home/apt,2,,1.0,11.0,2,250,t,39,88.0,8.0,9.0,9.0,9.0,10.0,9.0,f,0.34,37.97787,23.73829,1.0,False,22,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,,100.0,f,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,4,1.0,1.0,55.0,3,365,t,175,94.0,10.0,10.0,10.0,10.0,10.0,9.0,f,1.49,37.98652,23.73528,1.0,False,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,within a day,80.0,100.0,t,f,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,3,1.0,0.0,60.0,2,365,t,27,97.0,10.0,10.0,10.0,10.0,10.0,9.0,f,0.33,37.96791,23.72933,1.0,False,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,within an hour,100.0,100.0,t,t,ΣΤΑΔΙΟ,Entire home/apt,6,2.0,2.0,46.0,1,730,t,171,93.0,10.0,10.0,10.0,10.0,10.0,9.0,t,1.5,37.966,23.74443,1.0,False,25,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,,,,f,f,ΠΑΤΗΣΙΑ,Entire home/apt,4,2.0,4.0,74.0,14,730,f,0,,,,,,,,f,,38.00876,23.73967,1.5,False,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,within an hour,100.0,100.0,f,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,4,2.0,2.0,35.0,2,30,t,112,82.0,9.0,9.0,10.0,10.0,10.0,9.0,f,1.05,37.97537,23.73337,1.0,False,27,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,,,,f,f,ΓΚΑΖΙ,Private room,2,1.0,1.0,30.0,7,730,f,0,,,,,,,,f,,37.97858,23.70967,1.0,False,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,within an hour,100.0,100.0,f,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,2,1.0,1.0,36.0,2,30,t,47,83.0,9.0,9.0,8.0,9.0,10.0,9.0,f,0.42,37.97503,23.73236,1.0,False,29,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,within an hour,100.0,,f,t,ΓΚΑΖΙ,Private room,1,1.0,1.0,19.0,5,16,t,12,98.0,10.0,9.0,10.0,10.0,10.0,10.0,f,0.14,37.97846,23.70955,1.0,True,30,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,within an hour,97.0,98.0,f,t,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,Entire home/apt,8,3.0,5.0,84.0,2,730,t,164,92.0,10.0,10.0,10.0,10.0,9.0,9.0,t,1.53,37.96101,23.73623,2.0,False,31,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,within a day,100.0,100.0,t,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,4,1.0,1.0,75.0,4,40,t,74,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,0.73,37.97952,23.72367,1.0,False,32,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
33,a few days or more,0.0,,f,f,ΑΝΩ ΠΑΤΗΣΙΑ,Entire home/apt,4,1.0,1.0,124.0,5,365,t,1,97.0,10.0,10.0,10.0,10.0,10.0,8.0,f,0.01,38.01719,23.74506,1.0,False,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
